Date,Spread
2020-01-28,-2.4689322581603284
2020-01-29,-1.6746819583763948
2020-01-30,-1.7239563933136224
2020-01-31,-1.612074567328301
2020-02-03,-2.1726364857281326
2020-02-04,-2.2852599395387814
2020-02-05,-2.078857224898382
2020-02-06,-2.4351574340008244
2020-02-07,-2.0183184274490986
2020-02-10,-2.086368667430015
2020-02-11,-1.9790900925136863
2020-02-12,-2.0233607258299946
2020-02-13,-0.8985891592291146
2020-02-14,-0.700318809844072
2020-02-17,-1.0455445454605594
2020-02-18,-0.5143289291629083
2020-02-19,-0.9883436908841112
2020-02-20,-0.7780471980009049
2020-02-21,-1.595169628148088
2020-02-24,-2.0860459714701673
2020-02-25,-1.8546277958385806
2020-02-26,-1.3342273934206972
2020-02-27,-1.107304754947446
2020-02-28,-1.019310986086396
2020-03-02,-1.052136036091475
2020-03-03,-1.6503167518395676
2020-03-04,-1.848389406648685
2020-03-05,-1.934118212901906
2020-03-06,-1.2780021257626055
2020-03-09,-1.0022444314357153
2020-03-10,-1.7430322994351846
2020-03-11,-1.4634028695964947
2020-03-12,-1.4824225530402293
2020-03-13,-1.6307764770395847
2020-03-16,-1.1765659369104453
2020-03-17,-0.5179051452135832
2020-03-18,0.03709285056622136
2020-03-19,-0.2669559468677072
2020-03-20,-0.34726361431663744
2020-03-23,-0.1488196151457295
2020-03-24,0.3522981346032452
2020-03-25,0.156497222314413
2020-03-26,0.11637962206266295
2020-03-27,-0.3593088095697494
2020-03-30,-0.8575554930271974
2020-03-31,-0.40871214856625127
2020-04-01,0.2600861930588678
2020-04-02,0.20504374337392228
2020-04-03,0.6891125366333286
2020-04-06,0.8517824500835607
2020-04-07,0.483126463688472
2020-04-08,0.6167953664473131
2020-04-09,1.2907067785128747
2020-04-10,1.161659488760575
2020-04-13,1.8090228622959263
2020-04-14,0.45546047154404423
2020-04-15,0.825456325393171
2020-04-16,0.8048678463872521
2020-04-17,0.5909970323946787
2020-04-20,0.5784978482744925
2020-04-21,-0.3995883303708103
2020-04-22,-0.5002135543846169
2020-04-23,-0.32601583742818363
2020-04-24,0.3439668906744471
2020-04-27,-0.0010809228756798461
2020-04-28,-0.4507149431033941
2020-04-29,-0.7005307568728965
2020-04-30,-0.2664522959811553
2020-05-01,-0.10882979440480067
2020-05-04,-0.35817804382144036
2020-05-05,-0.11497215449084397
2020-05-06,-0.07325325563889695
2020-05-07,0.41848415320380195
2020-05-08,0.09152819621056452
2020-05-11,-0.0009246420825865798
2020-05-12,-0.18129140741687078
2020-05-13,-0.8402261339384527
2020-05-14,-0.6245700780823471
2020-05-15,-0.440448090234729
2020-05-18,-0.3821308271584991
2020-05-19,-0.4874884036217173
2020-05-20,-1.1533453130672457
2020-05-21,-1.3023955655133195
2020-05-22,-1.3669652008083908
2020-05-25,-1.6542160361771883
2020-05-26,-1.637151290048859
2020-05-27,-1.3600634571902335
2020-05-28,-0.3661776967213237
2020-05-29,-0.2242416480210636
2020-06-01,-0.06050207523758555
2020-06-02,-0.04806782197658599
2020-06-03,-0.9073999993658459
2020-06-04,-0.7957245351806401
2020-06-05,-0.6597341108957728
2020-06-08,0.607989658184148
2020-06-09,0.5429182089220888
2020-06-10,0.6806743559557535
2020-06-11,0.6585717481392361
2020-06-12,0.10522933911055965
2020-06-15,0.6791946222023455
2020-06-16,1.0330520102284604
